,coordinates,count,lng,lat,max_dist
307,137.011202_35.277979,51020,137.011202,35.277979,26.29878950560852
308,-92.131274_34.7519365,50934,-92.131274,34.7519365,61.774494790110474
309,34.2961367_-13.24736705,50834,34.2961367,-13.24736705,0.0
310,4.3063953_52.07686795,50801,4.3063953,52.07686795,9.469394442387422
311,-86.793917_33.5422375,50779,-86.793917,33.5422375,16.448373545712865
312,24.684408349999998_-22.34263245,50461,24.68440835,-22.34263245,0.0
313,67.0421945_24.90507550000001,50325,67.0421945,24.90507550000001,0.0
314,141.24736899782351_43.0396745038278,50325,141.24736899782351,43.0396745038278,19.02921303942618
315,-94.5592817_39.10004850000001,50315,-94.5592817,39.10004850000001,4.230412524107298
316,-3.224693_51.57888704999999,50090,-3.224693,51.57888704999999,22.11910877000846
317,-58.5083849_-34.529882,49995,-58.5083849,-34.529882,20.758676183651264
318,115.4508795_-3.45020075,49860,115.4508795,-3.45020075,134.74234106617075
319,-97.34391495_37.6838965,49853,-97.34391495,37.6838965,39.093311925075334
320,17.980058900000003_59.333670999999995,49817,17.980058900000003,59.333671,37.75975904350595
321,6.143025250000001_46.20475785000001,49730,6.143025250000001,46.20475785000001,151.20897869678114
322,125.44326145_7.3175827,49641,125.44326145,7.3175827,0.0
323,-8.4228133_43.34566085,49629,-8.4228133,43.34566085,25.778460803709898
324,-75.8001415_45.248790799999995,49590,-75.8001415,45.2487908,2.2239016620574205e-05
325,132.7088955_33.880532,49526,132.7088955,33.880532,21.187427456979975
326,88.352242_22.612705500000004,49505,88.352242,22.612705500000004,5.900139774183888
327,-89.87644900000001_32.571032,49460,-89.87644900000001,32.571032,111.55393019687943
328,139.8767675_36.596727,49455,139.8767675,36.596727,20.411081536927956
329,-91.0907995_30.45910005,49338,-91.0907995,30.45910005,10.714381223388509
330,31.1559295_40.85424955,49181,31.1559295,40.85424955,130.96854902730874
331,100.6313042_13.988191650000001,49162,100.6313042,13.98819165,12.114134449227224
332,135.92921_35.077422999999996,49148,135.92921,35.077423,11.716550885373396
333,68.88915850000001_26.116357,49003,68.88915850000001,26.116357,420.75310220364184
334,-98.319925_38.49819605,48769,-98.319925,38.49819605,96.53974406175978
335,-85.1681752_12.8667264,48730,-85.1681752,12.8667264,0.0
336,-111.91702575_40.76580515,48704,-111.91702575,40.76580515,12.090694595707056
337,-70.6596154_-33.4521612,48695,-70.6596154,-33.4521612,0.7423736811576928
338,-80.09119300298768_-2.5129950002854047,48665,-80.09119300298768,-2.5129950002854047,0.0
339,-49.10962635_-26.8728103,48616,-49.10962635,-26.8728103,29.499110181390357
340,32.8183812_39.88897634999999,48420,32.8183812,39.88897634999999,3.7940170706520533
341,-99.655676_19.284321650000003,48397,-99.655676,19.284321650000003,72.72258967762913
342,-71.5156462_-33.0263576,48372,-71.5156462,-33.0263576,34.52511805014792
343,30.38150305_40.7592494,48265,30.38150305,40.7592494,21.813295679352144
344,73.91007735_18.50816125,48259,73.91007735,18.50816125,96.21882319315306
345,28.6612526_41.0489466,48254,28.6612526,41.0489466,22.00344016138115
346,139.11601000000002_36.439459,48209,139.11601000000002,36.439459,15.171982907023402
